ACCURACY FEATURE SELECTION RESULTS:
    iter   |    MFL    |    WLF    |     M0    |   DASDV   |   MAVFD   |    SKEW   |   SPARSI  |    MPK    |    MSR    |    VAR    |     M4    |    KURT   |     M2    |    IRF    |    MDF    |     WL    |   MAVSLP  |    SSC    |    MAV    |    MNF    |    IAV    |    RMS    |    MNP    |     LS    |     LD    |   SAMPEN  |     ZC    |    WAMP   |     AR    |     CC    
====================================================================================================================================================================================================================================================================================================================================================================================
     0     |  89.6+8.7 | 84.2+11.5 |  64.6+9.1 | 77.5+11.4 |  87.0+9.5 | 68.5+12.4 |  88.6+9.6 | 78.2+11.4 |  89.6+8.7 | 78.1+11.8 | 77.5+11.4 |  71.4+9.7 | 78.1+11.8 | 78.1+11.8 |  88.6+9.6 | 77.1+11.1 |  59.7+7.9 | 56.7+11.0 | 77.5+11.4 | 78.1+11.8 | 77.8+11.7 | 77.1+11.1 | 85.3+10.4 | 65.9+12.0 | 77.8+11.7 | 77.8+11.7 | 77.5+11.4 | 77.5+11.4 | 77.5+11.4 | 77.5+11.4 
     1     |           |  92.1+7.3 |  91.9+7.2 |  89.6+8.9 |  90.1+8.3 |  91.8+7.6 |  89.8+8.9 |  89.5+8.8 |  91.1+7.5 |  90.1+8.5 |  89.6+8.9 |  88.9+8.2 |  90.1+8.5 |  90.1+8.5 |  89.8+8.9 |  89.8+8.9 |  89.5+9.2 |  91.6+7.7 |  90.1+8.5 |  90.1+8.5 |  90.1+8.5 |  89.8+8.9 |  89.7+8.9 |  91.4+7.8 |  90.1+8.5 |  90.1+8.5 |  90.1+8.5 |  90.1+8.5 |  90.1+8.5 |  90.1+8.5 
     2     |           |           |  92.3+7.2 |  92.2+7.2 |  90.7+6.9 |  91.7+7.5 |  92.1+7.5 |  92.1+7.3 |  92.3+6.8 |  92.0+7.1 |  92.2+7.2 |  91.9+7.1 |  92.0+7.1 |  92.0+7.1 |  92.1+7.5 |  91.7+7.6 |  91.7+7.5 |  92.1+7.2 |  92.0+7.1 |  92.0+7.1 |  91.9+7.2 |  91.7+7.6 |  92.0+7.2 |  92.1+7.1 |  91.9+7.2 |  91.9+7.2 |  92.0+7.1 |  92.0+7.1 |  92.0+7.1 |  92.0+7.1 
     3     |           |           |           |  92.5+6.8 |  92.0+7.2 |  92.2+7.2 |  92.2+7.9 |  92.1+7.6 |  92.4+6.9 |  91.9+7.2 |  92.5+6.8 |  92.4+7.1 |  91.9+7.2 |  91.9+7.2 |  92.2+7.9 |  92.0+7.3 |  92.0+7.1 |  92.2+7.2 |  91.9+7.2 |  91.9+7.2 |  91.9+7.1 |  92.0+7.3 |  92.2+7.4 |  92.2+7.4 |  91.9+7.1 |  91.9+7.1 |  91.9+7.2 |  91.9+7.2 |  91.9+7.2 |  91.9+7.2 
     4     |           |           |           |           |  92.5+7.0 |  92.4+7.2 |  92.4+7.7 |  92.0+7.9 |  92.5+6.8 |  92.0+7.2 |  92.1+7.0 |  92.5+6.9 |  92.0+7.2 |  92.0+7.2 |  92.4+7.7 |  92.1+7.2 |  92.3+7.5 |  92.3+7.1 |  92.0+7.2 |  92.0+7.2 |  92.0+7.1 |  92.1+7.2 |  92.4+7.1 |  92.2+7.4 |  92.0+7.1 |  92.0+7.1 |  92.0+7.2 |  92.0+7.2 |  92.0+7.2 |  92.0+7.2 
     5     |           |           |           |           |           |  92.5+7.1 |  92.2+7.9 |  92.1+7.0 |  92.4+7.0 |  91.9+7.2 |  92.1+7.0 |  92.1+7.5 |  91.9+7.2 |  91.9+7.2 |  92.2+7.9 |  92.1+7.2 |  92.2+7.7 |  92.3+7.2 |  91.9+7.2 |  91.9+7.2 |  91.9+7.2 |  92.1+7.2 |  92.4+7.2 |  92.1+7.5 |  91.9+7.2 |  91.9+7.2 |  91.9+7.2 |  91.9+7.2 |  91.9+7.2 |  91.9+7.2 
     6     |           |           |           |           |           |           |  92.5+7.7 |  92.0+7.4 |  92.3+7.2 |  92.2+7.3 |  92.0+7.4 |  92.3+7.6 |  92.2+7.3 |  92.2+7.3 |  92.5+7.7 |  92.2+7.4 |  92.4+7.6 |  92.4+7.2 |  92.2+7.3 |  92.2+7.3 |  92.1+7.3 |  92.2+7.4 |  92.5+7.3 |  92.3+7.4 |  92.1+7.3 |  92.1+7.3 |  92.2+7.3 |  92.2+7.3 |  92.2+7.3 |  92.2+7.3 
     7     |           |           |           |           |           |           |           |  92.6+7.5 |  92.5+7.2 |  92.1+7.7 |  92.3+7.6 |  92.3+7.7 |  92.1+7.7 |  92.1+7.7 |  92.4+7.9 |  92.3+7.5 |  92.4+7.6 |  92.4+7.6 |  92.1+7.7 |  92.1+7.7 |  92.1+7.6 |  92.3+7.5 |  92.5+7.9 |  92.4+7.7 |  92.1+7.6 |  92.1+7.6 |  92.1+7.7 |  92.1+7.7 |  92.1+7.7 |  92.1+7.7 
     8     |           |           |           |           |           |           |           |           |  92.6+7.1 |  92.2+7.4 |  92.4+7.3 |  92.4+7.7 |  92.2+7.4 |  92.2+7.4 |  92.3+7.9 |  92.2+7.5 |  92.3+7.9 |  92.4+7.7 |  92.2+7.4 |  92.2+7.4 |  92.1+7.6 |  92.2+7.5 |  92.5+7.6 |  92.2+7.9 |  92.1+7.6 |  92.1+7.6 |  92.2+7.4 |  92.2+7.4 |  92.2+7.4 |  92.2+7.4 
     9     |           |           |           |           |           |           |           |           |           |  92.7+7.0 |  92.6+7.2 |  92.7+7.0 |  92.7+7.0 |  92.7+7.0 |  92.4+6.9 |  92.6+7.1 |  92.6+7.2 |  92.4+7.4 |  92.4+7.2 |  92.7+7.0 |  92.4+7.3 |  92.6+7.1 |  92.4+7.3 |  92.2+7.5 |  92.4+7.3 |  92.4+7.3 |  92.4+7.2 |  92.4+7.2 |  92.4+7.2 |  92.4+7.2 
     10    |           |           |           |           |           |           |           |           |           |           |  92.7+7.0 |  92.5+7.3 |  92.7+7.1 |  92.7+7.1 |  90.9+7.3 |  92.6+7.1 |  92.6+7.2 |  92.6+7.2 |  92.4+7.4 |  92.7+7.1 |  92.5+7.3 |  92.6+7.1 |  92.4+7.3 |  92.4+7.4 |  92.5+7.3 |  92.5+7.3 |  92.4+7.4 |  92.4+7.4 |  92.4+7.4 |  92.4+7.4 
     11    |           |           |           |           |           |           |           |           |           |           |           |  92.9+7.0 |  92.7+7.1 |  92.7+7.1 |  92.6+7.2 |  92.8+7.0 |  92.4+6.9 |  92.6+7.2 |  92.6+7.4 |  92.7+7.1 |  92.7+7.3 |  92.8+7.0 |  92.4+7.6 |  92.5+7.5 |  92.7+7.3 |  92.7+7.3 |  92.6+7.4 |  92.6+7.4 |  92.6+7.4 |  92.6+7.4 
     12    |           |           |           |           |           |           |           |           |           |           |           |           |  92.9+6.9 |  92.9+6.9 |  92.9+7.1 |  92.8+7.2 |  92.4+7.2 |  92.8+7.3 |  92.9+7.2 |  92.9+6.9 |  92.7+7.7 |  92.8+7.2 |  92.7+7.4 |  92.7+7.5 |  92.7+7.7 |  92.7+7.7 |  92.9+7.2 |  92.9+7.2 |  92.9+7.2 |  92.9+7.2 
     13    |           |           |           |           |           |           |           |           |           |           |           |           |           |  93.0+7.1 |  92.9+7.0 |  92.9+7.0 |  91.3+7.3 |  92.8+7.3 |  92.9+7.2 |  93.0+7.1 |  92.9+7.3 |  92.9+7.0 |  92.6+7.6 |  92.8+7.3 |  92.9+7.3 |  92.9+7.3 |  92.9+7.2 |  92.9+7.2 |  92.9+7.2 |  92.9+7.2 
     14    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |  93.1+7.0 |  93.1+7.1 |  92.7+7.3 |  93.1+7.1 |  92.8+7.3 |  92.6+7.1 |  92.8+7.5 |  93.1+7.1 |  92.6+7.5 |  92.8+7.4 |  92.8+7.5 |  92.8+7.5 |  92.8+7.3 |  92.8+7.3 |  92.8+7.3 |  92.8+7.3 
     15    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |  93.1+7.1 |  93.0+7.1 |  93.1+7.3 |  93.0+7.3 |  92.4+7.2 |  92.9+7.2 |  93.1+7.1 |  92.8+7.4 |  93.0+7.2 |  92.9+7.2 |  92.9+7.2 |  93.0+7.3 |  93.0+7.3 |  93.0+7.3 |  93.0+7.3 
     16    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |  93.1+7.0 |  93.1+7.0 |  93.1+6.9 |  91.4+7.4 |  93.0+7.0 |  93.1+7.0 |  93.1+6.9 |  92.9+7.2 |  93.0+7.0 |  93.0+7.0 |  93.1+6.9 |  93.1+6.9 |  93.1+6.9 |  93.1+6.9 
