ACCURACY FEATURE SELECTION RESULTS:
    iter   |    MSR    |    WLF    |    RMS    |   SPARSI  |    VAR    |    MPK    |   MAVSLP  |    WAMP   |   MAVFD   |    MNP    |    IRF    |     ZC    |     WL    |    MFL    |   DASDV   |    MAV    |    IAV    |    SSC    |    MDF    |    SKEW   |    KURT   |     LS    |    MNF    |     AR    |   SAMPEN  |     LD    |     M0    |     M4    |     M2    |     CC    
====================================================================================================================================================================================================================================================================================================================================================================================
     0     |  92.8+7.8 |  89.7+8.9 | 73.9+10.3 |  91.9+8.4 |  89.1+8.0 |  22.5+4.2 |  92.1+7.3 |  92.8+7.8 | 83.5+13.7 |  92.1+7.3 | 76.5+11.4 | 70.6+14.1 | 63.9+13.0 |  90.4+8.0 |  89.2+8.1 |  89.1+8.0 | 63.9+13.0 |  89.1+8.0 | 73.9+10.3 |  89.1+8.0 |  89.1+8.0 |  89.1+8.0 |  92.8+7.8 |  90.4+8.0 |  92.2+8.2 |  89.2+8.1 |  89.1+8.0 | 70.6+14.1 |  89.1+8.0 |  89.1+8.0 
     1     |           |  94.7+5.6 |  93.0+7.4 |  93.5+6.4 |  92.9+7.8 |  92.8+7.8 |  93.4+6.9 |  92.9+7.9 |  93.7+6.5 |  93.4+6.9 |  91.9+7.8 |  94.6+5.8 |  94.1+6.3 |  94.0+6.1 |  91.9+8.3 |  91.9+8.7 |  94.1+6.3 |  91.9+8.7 |  93.0+7.4 |  92.9+7.8 |  92.9+7.8 |  91.9+8.7 |  92.9+7.9 |  94.0+6.1 |  93.3+6.5 |  91.9+8.3 |  91.9+8.7 |  94.6+5.8 |  91.9+8.7 |  91.9+8.7 
     2     |           |           |  94.7+5.4 |  93.7+6.3 |  94.5+5.7 |  94.3+5.8 |  92.0+6.8 |  94.7+5.6 |  94.4+5.6 |  92.0+6.8 |  93.6+6.0 |  94.5+5.5 |  94.3+5.6 |  94.5+5.5 |  94.4+5.6 |  94.2+5.9 |  94.3+5.6 |  94.2+5.9 |  94.7+5.4 |  94.5+5.7 |  94.5+5.7 |  94.2+5.9 |  94.7+5.6 |  94.5+5.5 |  94.2+5.8 |  94.4+5.6 |  94.2+5.9 |  94.5+5.5 |  94.2+5.9 |  94.2+5.9 
     3     |           |           |           |  94.8+5.6 |  94.1+6.2 |  94.4+5.7 |  94.3+5.5 |  94.7+5.6 |  93.9+6.0 |  94.3+5.5 |  93.3+6.3 |  94.6+5.3 |  94.5+5.7 |  94.7+5.2 |  94.4+5.4 |  94.3+5.6 |  94.5+5.7 |  94.3+5.6 |  94.3+5.6 |  94.1+6.2 |  94.1+6.2 |  94.3+5.6 |  94.7+5.6 |  94.7+5.2 |  94.0+5.6 |  94.4+5.4 |  94.3+5.6 |  94.6+5.3 |  94.3+5.6 |  94.3+5.6 
     4     |           |           |           |           |  94.9+5.9 |  94.9+5.9 |  94.7+5.7 |  94.9+5.6 |  92.4+6.8 |  94.7+5.7 |  93.5+6.1 |  94.5+5.7 |  94.4+5.8 |  94.4+5.7 |  94.6+5.7 |  94.6+5.7 |  94.4+5.8 |  94.6+5.7 |  94.6+5.7 |  94.9+5.9 |  94.9+5.9 |  94.6+5.7 |  94.9+5.6 |  94.4+5.7 |  94.1+5.6 |  94.6+5.7 |  94.6+5.7 |  94.5+5.7 |  94.6+5.7 |  94.6+5.7 
     5     |           |           |           |           |           |  95.1+5.6 |  95.0+5.8 |  94.9+6.0 |  94.7+5.8 |  95.0+5.8 |  93.9+6.0 |  94.9+5.8 |  94.7+5.9 |  94.7+5.8 |  94.9+5.5 |  94.6+5.7 |  94.7+5.9 |  94.6+5.7 |  94.6+5.7 |  93.8+6.2 |  93.8+6.2 |  94.6+5.7 |  94.9+6.0 |  94.7+5.8 |  95.0+5.2 |  94.9+5.5 |  94.6+5.7 |  94.9+5.8 |  94.6+5.7 |  94.6+5.7 
     6     |           |           |           |           |           |           |  95.0+5.7 |  95.0+5.8 |  94.7+5.8 |  95.0+5.7 |  93.8+6.3 |  94.9+5.6 |  94.7+5.9 |  94.8+5.7 |  94.9+5.4 |  94.5+5.7 |  94.7+5.9 |  94.5+5.7 |  94.5+5.7 |  93.8+6.4 |  93.8+6.4 |  94.5+5.7 |  95.0+5.8 |  94.8+5.7 |  94.9+5.4 |  94.9+5.4 |  94.5+5.7 |  94.9+5.6 |  94.5+5.7 |  94.5+5.7 
     7     |           |           |           |           |           |           |           |  95.0+5.8 |  94.6+5.9 |  94.8+5.9 |  93.8+6.3 |  94.9+5.7 |  94.6+5.9 |  94.7+5.8 |  94.8+5.5 |  94.5+5.8 |  94.6+5.9 |  94.5+5.8 |  94.5+5.8 |  93.8+6.3 |  93.8+6.3 |  94.5+5.8 |  95.0+5.8 |  94.7+5.8 |  94.8+5.5 |  94.8+5.5 |  94.5+5.8 |  94.9+5.7 |  94.5+5.8 |  94.5+5.8 
     8     |           |           |           |           |           |           |           |           |  95.0+5.8 |  94.7+6.0 |  94.9+5.9 |  94.9+5.8 |  94.6+6.1 |  94.8+6.0 |  94.8+5.4 |  94.7+5.6 |  94.6+6.1 |  94.7+5.6 |  94.9+5.9 |  94.0+6.3 |  94.0+6.3 |  94.7+5.6 |  94.7+5.6 |  94.8+6.0 |  94.9+5.4 |  94.8+5.4 |  94.7+5.6 |  94.9+5.8 |  94.7+5.6 |  94.7+5.6 
